platform,year,size,xgb,lgbm,h2o,catboost
"CPU",2017,1M,20,6,25,
"CPU",2017,10M,170,50,140,
"CPU",2018,1M,16,6,21,
"CPU",2018,10M,150,47,90,
"CPU",2019,1M,12,5.2,20,50
"CPU",2019,10M,78,42,100,490
"CPU",2021,1M,3.5,4.2,15,10
"CPU",2021,10M,40,20,90,80
"CPU",2024,1M,2.7,4.0,12,7
"CPU",2024,10M,40,20,60,70
"GPU",2017,1M,6,30,,
"GPU",2017,10M,50,120,,
"GPU",2018,1M,8,20,,
"GPU",2018,10M,25,75,,
"GPU",2019,1M,4.8,16,,10
"GPU",2019,10M,13,67,,135
"GPU",2021,1M,6.5,10,,4.6
"GPU",2021,10M,11,42,,37
"GPU",2024,1M,1.3,9,,3.4
"GPU",2024,10M,5,40,,23
"CPU",2025,1M,2.5,4.0,12,6.6
"CPU",2025,10M,33,20,56,69
"GPU",2025,1M,1.4,7.5,,3.3
"GPU",2025,10M,3.7,29,,22
